categorie,nature,numero,nom,km,osm_id
TERTIAIRE,Route tertiaire,"","",1.777,w486208934
TERTIAIRE,Route tertiaire,"","",1.772,w644606386
TERTIAIRE,Route tertiaire,"","",1.770,w268778691
TERTIAIRE,Route tertiaire,"","",1.767,w94781327
TERTIAIRE,Route tertiaire,"","",1.758,w272511808
TERTIAIRE,Route tertiaire,"","",1.757,w398759898
SECONDAIRE,Route secondaire,"","",1.756,w496950272
PRINCIPALE,Route primaire,"",Autoroute le Prince,1.756,w690226866
PRINCIPALE,Route primaire,"",Autoroute le Prince,1.754,w140786778
TERTIAIRE,Route tertiaire,"","",1.754,w210979932
TERTIAIRE,Route tertiaire,"","",1.752,w270119949
PRINCIPALE,Route primaire,"",Autoroute le Prince,1.747,w140786780
PRINCIPALE,Route primaire,"",Autoroute le Prince,1.747,w140786773
TERTIAIRE,Route tertiaire,"","",1.745,w269962976
TERTIAIRE,Route tertiaire,"","",1.730,w701261478
TERTIAIRE,Route tertiaire,"","",1.728,w440987380
TERTIAIRE,Route tertiaire,"","",1.726,w302319885
SECONDAIRE,Route secondaire,"",transvervale 5,1.725,w548598618
TERTIAIRE,Route tertiaire,"","",1.721,w308549868
SECONDAIRE,Route secondaire,"",transvervale 5,1.721,w270700703
TERTIAIRE,Route tertiaire,"","",1.710,w305114500
TERTIAIRE,Route tertiaire,"","",1.710,w264392024
TERTIAIRE,Route tertiaire,"","",1.709,w274151663
PRINCIPALE,Route primaire,"",Autoroute le Prince,1.702,w140686345
TERTIAIRE,Route tertiaire,"","",1.699,w304942259
PRINCIPALE,Route primaire,"","",1.697,w269783541
PRINCIPALE,Route primaire,"",Autoroute le Prince,1.696,w140686349
PRINCIPALE,Route primaire,"","",1.695,w268843204
PRINCIPALE,Route primaire,"","",1.688,w650332013
TERTIAIRE,Route tertiaire,"","",1.683,w305548788
TERTIAIRE,Route tertiaire,"","",1.681,w304024480
TERTIAIRE,Route tertiaire,"","",1.677,w498540358
TERTIAIRE,Route tertiaire,"","",1.676,w314288558
TERTIAIRE,Route tertiaire,"","",1.673,w300380656
SECONDAIRE,Route secondaire,"","",1.663,w270249195
TERTIAIRE,Route tertiaire,"","",1.661,w268858979
PRINCIPALE,Route primaire,"","",1.660,w501080569
TERTIAIRE,Route tertiaire,"","",1.651,w667295833
TERTIAIRE,Route tertiaire,"",Rue RO. 124,1.650,w39441465
TERTIAIRE,Route tertiaire,"","",1.650,w339412763
TERTIAIRE,Route tertiaire,"","",1.646,w667295847
TERTIAIRE,Route tertiaire,"","",1.643,w302317297
TERTIAIRE,Route tertiaire,"","",1.623,w502998927
TERTIAIRE,Route tertiaire,"","",1.621,w667295844
TERTIAIRE,Route tertiaire,"","",1.598,w514036359
TERTIAIRE,Route tertiaire,"","",1.597,w304942074
PRINCIPALE,Route primaire,"","",1.592,w271970122
TERTIAIRE,Route tertiaire,"",Rue RO. 064,1.587,w52003821
TERTIAIRE,Route tertiaire,"","",1.587,w328659982
TERTIAIRE,Route tertiaire,"","",1.571,w330159797
TERTIAIRE,Route tertiaire,"","",1.571,w686007621
PRINCIPALE,Route primaire,"","",1.569,w273060265
SECONDAIRE,Route secondaire,"","",1.558,w311045990
TERTIAIRE,Route tertiaire,"","",1.557,w304026276
TERTIAIRE,Route tertiaire,"","",1.553,w400823403
TERTIAIRE,Route tertiaire,"","",1.551,w340258275
TERTIAIRE,Route tertiaire,"","",1.543,w400338888
PRINCIPALE,Route primaire,"","",1.539,w39451032
SECONDAIRE,Route secondaire,"","",1.538,w273328712
TERTIAIRE,Route tertiaire,"","",1.534,w940371771
TERTIAIRE,Route tertiaire,"","",1.528,w331459473
TERTIAIRE,Route tertiaire,"","",1.526,w225083489
TERTIAIRE,Route tertiaire,"","",1.521,w398759891
