Route tertiaire	NC	16.475	Kindia	0.000	0.157	OUTSIDE_BDRI_SCOPE
Voie rapide	N2	16.459	Faranah	1.000	1.000	LIKELY_DUPLICATE
Voie rapide	N6	16.448	Kankan	0.480	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.434	Boké	0.856	0.915	LIKELY_DUPLICATE
Route tertiaire	NC	16.427	Kankan	0.006	0.032	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	16.404	Kankan	0.009	0.050	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	16.390	Labé	0.019	0.098	POTENTIAL_BDRI_MISSING
Route primaire	N27	16.387	Labé	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.329	Kankan	0.004	0.018	POTENTIAL_BDRI_MISSING
Route secondaire	NC	16.283	Kankan	0.996	1.000	LIKELY_DUPLICATE
Voie rapide	N4	16.262	Kindia	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.240	Labé	0.025	0.230	OUTSIDE_BDRI_SCOPE
Voie rapide	N2	16.235	Nzérékoré	0.929	1.000	LIKELY_DUPLICATE
Voie rapide	N1	16.191	Mamou	0.990	1.000	LIKELY_DUPLICATE
Route primaire	N29	16.182	Faranah	0.979	1.000	LIKELY_DUPLICATE
Route secondaire	NC	16.166	Labé	0.990	1.000	LIKELY_DUPLICATE
Voie rapide	NC	16.125	Boké	0.820	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.125	Mamou	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	16.083	Nzérékoré	0.000	0.016	POTENTIAL_BDRI_MISSING
Voie rapide	N5	16.062	Mamou	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.024	Kankan	0.002	0.052	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	16.009	Kankan	0.018	0.174	OUTSIDE_BDRI_SCOPE
Voie rapide	N1	15.930	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	15.912	Kindia	0.016	0.280	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	15.900	Kindia	0.012	0.113	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	15.870	Labé	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	15.850	Kindia	0.053	0.115	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	15.768	Faranah	0.036	0.248	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	15.742	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	15.738	Kankan	0.009	0.052	POTENTIAL_BDRI_MISSING
Voie rapide	N6	15.695	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	15.677	Boké	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	15.654	Mamou	0.053	0.426	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	15.482	Mamou	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	15.445	Nzérékoré	0.006	0.257	OUTSIDE_BDRI_SCOPE
Route secondaire	NC	15.431	Kankan	0.010	0.024	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	15.384	Kankan	0.008	0.037	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	15.355	Kankan	0.000	0.032	POTENTIAL_BDRI_MISSING
Voie rapide	N2	15.323	Mamou	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	N4	15.314	Kindia	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	15.289	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	15.276	Kankan	0.041	0.827	LIKELY_DUPLICATE
